character,film,release_date,screen_time
Harry Potter,Philosopher's Stone,2001,72:45
Ron Weasley,Philosopher's Stone,2001,28:15
Hermione Granger,Philosopher's Stone,2001,23:15
Rubeus Hagrid,Philosopher's Stone,2001,16:30
Albus Dumbledore,Philosopher's Stone,2001,9:45
Minerva McGonagall,Philosopher's Stone,2001,7:30
Quirinus Quirrell,Philosopher's Stone,2001,7:00
Draco Malfoy,Philosopher's Stone,2001,4:15
Severus Snape,Philosopher's Stone,2001,4:00
Vernon Dursley,Philosopher's Stone,2001,4:00
Neville Longbottom,Philosopher's Stone,2001,3:15
Petunia Evans Dursley,Philosopher's Stone,2001,3:00
Garrick Ollivander,Philosopher's Stone,2001,3:00
Dudley Dursley,Philosopher's Stone,2001,2:45
Oliver Wood,Philosopher's Stone,2001,2:45
Voldemort (Harry Potter),Philosopher's Stone,2001,2:00
Sorting Hat (Harry Potter),Philosopher's Stone,2001,2:00
Hedwig (Harry Potter),Philosopher's Stone,2001,1:45
Rolanda Hooch,Philosopher's Stone,2001,1:45
Percy Weasley,Philosopher's Stone,2001,1:45
Seamus Finnigan,Philosopher's Stone,2001,1:45
Fred Weasley,Philosopher's Stone,2001,1:30
George Weasley,Philosopher's Stone,2001,1:30
Firenze (Harry Potter),Philosopher's Stone,2001,1:30
Dean Thomas,Philosopher's Stone,2001,1:15
Argus Filch,Philosopher's Stone,2001,1:15
Lily Evans Potter,Philosopher's Stone,2001,1:15
James Potter,Philosopher's Stone,2001,1:00
Filius Flitwick,Philosopher's Stone,2001,1:00
Fang (Harry Potter),Philosopher's Stone,2001,1:00
Nearly Headless Nick,Philosopher's Stone,2001,0:45
Griphook (Harry Potter),Philosopher's Stone,2001,0:45
Lee Jordan,Philosopher's Stone,2001,0:45
Marcus Flint,Philosopher's Stone,2001,0:45
Alicia Spinnet,Philosopher's Stone,2001,0:45
Vincent Crabbe,Philosopher's Stone,2001,0:45
Gregory Goyle,Philosopher's Stone,2001,0:45
Angelina Johnson,Philosopher's Stone,2001,0:30
Katie Bell,Philosopher's Stone,2001,0:30
Molly Weasley,Philosopher's Stone,2001,0:30
Ginny Weasley,Philosopher's Stone,2001,0:15
The Fat Lady (Harry Potter),Philosopher's Stone,2001,0:15
Peter Pettigrew,Philosopher's Stone,2001,0:15
