character,film,release_date,screen_time
Harry Potter,Chamber of Secrets,2002,83:45
Ron Weasley,Chamber of Secrets,2002,38:15
Hermione Granger,Chamber of Secrets,2002,15:30
Albus Dumbledore,Chamber of Secrets,2002,10:45
Gilderoy Lockhart,Chamber of Secrets,2002,10:30
Rubeus Hagrid,Chamber of Secrets,2002,8:15
Dobby (Harry Potter),Chamber of Secrets,2002,7:30
Draco Malfoy,Chamber of Secrets,2002,7:00
Tom Riddle | Voldemort,Chamber of Secrets,2002,6:45
Lucius Malfoy,Chamber of Secrets,2002,6:45
Minerva McGonagall,Chamber of Secrets,2002,5:45
Ginny Weasley,Chamber of Secrets,2002,4:45
Severus Snape,Chamber of Secrets,2002,4:30
Arthur Weasley,Chamber of Secrets,2002,2:30
Cornelius Fudge,Chamber of Secrets,2002,2:30
Vernon Dursley,Chamber of Secrets,2002,2:30
Fred Weasley,Chamber of Secrets,2002,2:30
George Weasley,Chamber of Secrets,2002,2:30
Fawkes (Harry Potter),Chamber of Secrets,2002,2:30
Molly Weasley,Chamber of Secrets,2002,2:15
Oliver Wood,Chamber of Secrets,2002,1:45
Argus Filch,Chamber of Secrets,2002,1:45
Hedwig (Harry Potter),Chamber of Secrets,2002,1:45
Moaning Myrtle,Chamber of Secrets,2002,1:30
Petunia Evans Dursley,Chamber of Secrets,2002,1:30
Pomona Sprout,Chamber of Secrets,2002,1:30
Percy Weasley,Chamber of Secrets,2002,1:30
Fang (Harry Potter),Chamber of Secrets,2002,1:30
Colin Creevey,Chamber of Secrets,2002,1:15
Dudley Dursley,Chamber of Secrets,2002,1:15
Neville Longbottom,Chamber of Secrets,2002,1:15
Poppy Pomfrey,Chamber of Secrets,2002,1:15
Vincent Crabbe,Chamber of Secrets,2002,1:15
Gregory Goyle,Chamber of Secrets,2002,1:15
Dean Thomas,Chamber of Secrets,2002,1:00
Seamus Finnigan,Chamber of Secrets,2002,1:00
Aragog (Harry Potter),Chamber of Secrets,2002,1:00
Marcus Flint,Chamber of Secrets,2002,1:00
Sorting Hat (Harry Potter),Chamber of Secrets,2002,0:45
Justin Finch-Fletchley,Chamber of Secrets,2002,0:45
Nearly Headless Nick,Chamber of Secrets,2002,0:45
Angelina Johnson,Chamber of Secrets,2002,0:30
Alicia Spinnet,Chamber of Secrets,2002,0:30
Katie Bell,Chamber of Secrets,2002,0:30
Peter Pettigrew,Chamber of Secrets,2002,0:30
Filius Flitwick,Chamber of Secrets,2002,0:15
Lee Jordan,Chamber of Secrets,2002,0:15
Lily Evans Potter,Chamber of Secrets,2002,0:00
James Potter,Chamber of Secrets,2002,0:00
