character,film,release_date,screen_time
Harry Potter,Prisoner of Azkaban,2004,74:30
Hermione Granger,Prisoner of Azkaban,2004,34:45
Ron Weasley,Prisoner of Azkaban,2004,21:15
Remus Lupin,Prisoner of Azkaban,2004,19:15
Sirius Black,Prisoner of Azkaban,2004,11:30
Buckbeak,Prisoner of Azkaban,2004,7:45
Albus Dumbledore,Prisoner of Azkaban,2004,6:15
Severus Snape,Prisoner of Azkaban,2004,5:45
Rubeus Hagrid,Prisoner of Azkaban,2004,5:15
Draco Malfoy,Prisoner of Azkaban,2004,4:00
Cornelius Fudge,Prisoner of Azkaban,2004,3:00
Neville Longbottom,Prisoner of Azkaban,2004,3:00
Vernon Dursley,Prisoner of Azkaban,2004,3:00
Sybill Trelawney,Prisoner of Azkaban,2004,2:45
Marge Dursley,Prisoner of Azkaban,2004,2:45
Fred Weasley,Prisoner of Azkaban,2004,2:45
George Weasley,Prisoner of Azkaban,2004,2:45
Peter Pettigrew,Prisoner of Azkaban,2004,2:30
Petunia Evans Dursley,Prisoner of Azkaban,2004,2:15
Vincent Crabbe,Prisoner of Azkaban,2004,2:00
Gregory Goyle,Prisoner of Azkaban,2004,2:00
Stan Shunpike,Prisoner of Azkaban,2004,2:00
Minerva McGonagall,Prisoner of Azkaban,2004,1:45
Arthur Weasley,Prisoner of Azkaban,2004,1:45
Dudley Dursley,Prisoner of Azkaban,2004,1:45
Seamus Finnigan,Prisoner of Azkaban,2004,1:45
Parvati Patil,Prisoner of Azkaban,2004,1:15
Argus Filch,Prisoner of Azkaban,2004,1:15
Hedwig (Harry Potter),Prisoner of Azkaban,2004,1:00
Madam Rosmerta,Prisoner of Azkaban,2004,1:00
Lavender Brown,Prisoner of Azkaban,2004,1:00
Tom the Barman (Harry Potter),Prisoner of Azkaban,2004,1:00
Ernie Prang,Prisoner of Azkaban,2004,1:00
Dean Thomas,Prisoner of Azkaban,2004,0:45
Molly Weasley,Prisoner of Azkaban,2004,0:45
Percy Weasley,Prisoner of Azkaban,2004,0:45
The Fat Lady (Harry Potter),Prisoner of Azkaban,2004,0:45
Filius Flitwick,Prisoner of Azkaban,2004,0:45
Crookshanks,Prisoner of Azkaban,2004,0:45
Ginny Weasley,Prisoner of Azkaban,2004,0:30
Angelina Johnson,Prisoner of Azkaban,2004,0:30
Pansy Parkinson,Prisoner of Azkaban,2004,0:30
Lily Evans Potter,Prisoner of Azkaban,2004,0:00
James Potter,Prisoner of Azkaban,2004,0:00
