character,film,release_date,screen_time
Harry Potter,Goblet of Fire,2005,63:15
Ron Weasley,Goblet of Fire,2005,20:30
Hermione Granger,Goblet of Fire,2005,16:30
Bartemius Crouch Jr.,Goblet of Fire,2005,16:15
Albus Dumbledore,Goblet of Fire,2005,14:15
Cedric Diggory,Goblet of Fire,2005,8:00
Voldemort (Harry Potter),Goblet of Fire,2005,6:30
Bartemius Crouch Sr.,Goblet of Fire,2005,5:15
Viktor Krum,Goblet of Fire,2005,5:15
Severus Snape,Goblet of Fire,2005,4:45
Minerva McGonagall,Goblet of Fire,2005,4:30
Fred Weasley,Goblet of Fire,2005,4:30
George Weasley,Goblet of Fire,2005,4:30
Fleur Delacour,Goblet of Fire,2005,4:30
Neville Longbottom,Goblet of Fire,2005,4:15
Rubeus Hagrid,Goblet of Fire,2005,3:45
Peter Pettigrew,Goblet of Fire,2005,3:30
Ginny Weasley,Goblet of Fire,2005,3:30
Igor Karkaroff,Goblet of Fire,2005,3:15
Rita Skeeter,Goblet of Fire,2005,3:15
Olympe Maxime,Goblet of Fire,2005,3:00
Arthur Weasley,Goblet of Fire,2005,2:30
Draco Malfoy,Goblet of Fire,2005,2:15
Cho Chang,Goblet of Fire,2005,1:45
Parvati Patil,Goblet of Fire,2005,1:45
Padma Patil,Goblet of Fire,2005,1:45
Lucius Malfoy,Goblet of Fire,2005,1:30
Amos Diggory,Goblet of Fire,2005,1:30
Seamus Finnigan,Goblet of Fire,2005,1:30
Frank Bryce,Goblet of Fire,2005,1:30
Gabrielle Delacour,Goblet of Fire,2005,1:30
Sirius Black,Goblet of Fire,2005,1:15
Moaning Myrtle,Goblet of Fire,2005,1:15
Cornelius Fudge,Goblet of Fire,2005,1:00
Dean Thomas,Goblet of Fire,2005,1:00
Argus Filch,Goblet of Fire,2005,0:45
Filius Flitwick,Goblet of Fire,2005,0:45
Vincent Crabbe,Goblet of Fire,2005,0:45
Gregory Goyle,Goblet of Fire,2005,0:45
Alastor "Mad-Eye" Moody,Goblet of Fire,2005,0:30
Nigel Wolpert,Goblet of Fire,2005,0:30
Nagini (Harry Potter),Goblet of Fire,2005,0:30
Lily Evans Potter,Goblet of Fire,2005,0:15
James Potter,Goblet of Fire,2005,0:15
Hedwig (Harry Potter),Goblet of Fire,2005,0:15
Angelina Johnson,Goblet of Fire,2005,0:15
Fawkes (Harry Potter),Goblet of Fire,2005,0:15
