character,film,release_date,screen_time
Harry Potter,Order of the Phoenix,2007,61:45
Hermione Granger,Order of the Phoenix,2007,23:00
Ron Weasley,Order of the Phoenix,2007,21:00
Dolores Umbridge,Order of the Phoenix,2007,14:15
Luna Lovegood,Order of the Phoenix,2007,9:15
Neville Longbottom,Order of the Phoenix,2007,9:00
Sirius Black,Order of the Phoenix,2007,7:30
Albus Dumbledore,Order of the Phoenix,2007,7:30
Ginny Weasley,Order of the Phoenix,2007,6:45
Fred Weasley,Order of the Phoenix,2007,5:00
George Weasley,Order of the Phoenix,2007,5:00
Severus Snape,Order of the Phoenix,2007,4:00
Dudley Dursley,Order of the Phoenix,2007,3:45
Cho Chang,Order of the Phoenix,2007,3:30
Arthur Weasley,Order of the Phoenix,2007,3:30
Lucius Malfoy,Order of the Phoenix,2007,3:00
Cornelius Fudge,Order of the Phoenix,2007,2:45
Rubeus Hagrid,Order of the Phoenix,2007,2:45
Kingsley Shacklebolt,Order of the Phoenix,2007,2:30
Voldemort (Harry Potter),Order of the Phoenix,2007,2:15
Argus Filch,Order of the Phoenix,2007,2:15
Bellatrix Black Lestrange,Order of the Phoenix,2007,2:00
Minerva McGonagall,Order of the Phoenix,2007,2:00
Sybill Trelawney,Order of the Phoenix,2007,2:00
Molly Weasley,Order of the Phoenix,2007,1:45
Nymphadora Tonks,Order of the Phoenix,2007,1:45
Seamus Finnigan,Order of the Phoenix,2007,1:45
Grawp (Harry Potter),Order of the Phoenix,2007,1:45
Alastor "Mad-Eye" Moody,Order of the Phoenix,2007,1:30
Parvati Patil,Order of the Phoenix,2007,1:30
Padma Patil,Order of the Phoenix,2007,1:30
Arabella Figg,Order of the Phoenix,2007,1:30
Remus Lupin,Order of the Phoenix,2007,1:15
Draco Malfoy,Order of the Phoenix,2007,1:15
Vincent Crabbe,Order of the Phoenix,2007,1:15
Gregory Goyle,Order of the Phoenix,2007,1:15
Vernon Dursley,Order of the Phoenix,2007,1:15
Petunia Evans Dursley,Order of the Phoenix,2007,1:15
Dean Thomas,Order of the Phoenix,2007,1:15
Nigel Wolpert,Order of the Phoenix,2007,1:15
Kreacher (Harry Potter),Order of the Phoenix,2007,0:45
Amelia Bones,Order of the Phoenix,2007,0:45
Crookshanks,Order of the Phoenix,2007,0:45
Hedwig (Harry Potter),Order of the Phoenix,2007,0:30
Filius Flitwick,Order of the Phoenix,2007,0:30
Percy Weasley,Order of the Phoenix,2007,0:30
James Potter,Order of the Phoenix,2007,0:30
Lily Evans Potter,Order of the Phoenix,2007,0:15
Cedric Diggory,Order of the Phoenix,2007,0:15
Nagini (Harry Potter),Order of the Phoenix,2007,0:15
Fang (Harry Potter),Order of the Phoenix,2007,0:15
Fawkes (Harry Potter),Order of the Phoenix,2007,0:15
