character,film,release_date,screen_time
Harry Potter,Half-Blood Prince,2009,67:00
Albus Dumbledore,Half-Blood Prince,2009,22:15
Ron Weasley,Half-Blood Prince,2009,21:45
Hermione Granger,Half-Blood Prince,2009,20:00
Horace Slughorn,Half-Blood Prince,2009,18:00
Severus Snape,Half-Blood Prince,2009,9:15
Ginny Weasley,Half-Blood Prince,2009,8:45
Draco Malfoy,Half-Blood Prince,2009,8:15
Tom Riddle | Voldemort,Half-Blood Prince,2009,4:15
Rubeus Hagrid,Half-Blood Prince,2009,4:00
Bellatrix Black Lestrange,Half-Blood Prince,2009,3:45
Minerva McGonagall,Half-Blood Prince,2009,3:45
Lavender Brown,Half-Blood Prince,2009,3:30
Luna Lovegood,Half-Blood Prince,2009,3:15
Narcissa Black Malfoy,Half-Blood Prince,2009,2:45
Arthur Weasley,Half-Blood Prince,2009,2:45
Remus Lupin,Half-Blood Prince,2009,2:00
Nymphadora Tonks,Half-Blood Prince,2009,1:45
Neville Longbottom,Half-Blood Prince,2009,1:30
Cormac McLaggen,Half-Blood Prince,2009,1:30
Molly Weasley,Half-Blood Prince,2009,1:15
Fenrir Greyback,Half-Blood Prince,2009,1:15
Romilda Vane,Half-Blood Prince,2009,1:00
Blaise Zabini,Half-Blood Prince,2009,1:00
Katie Bell,Half-Blood Prince,2009,1:00
Fred Weasley,Half-Blood Prince,2009,0:45
George Weasley,Half-Blood Prince,2009,0:45
Amycus Carrow,Half-Blood Prince,2009,0:45
Alecto Carrow,Half-Blood Prince,2009,0:45
Fang (Harry Potter),Half-Blood Prince,2009,0:45
Aragog (Harry Potter),Half-Blood Prince,2009,0:45
Poppy Pomfrey,Half-Blood Prince,2009,0:45
Pansy Parkinson,Half-Blood Prince,2009,0:45
Filius Flitwick,Half-Blood Prince,2009,0:30
Leanne (Harry Potter),Half-Blood Prince,2009,0:30
Seamus Finnigan,Half-Blood Prince,2009,0:30
Dean Thomas,Half-Blood Prince,2009,0:30
Hedwig (Harry Potter),Half-Blood Prince,2009,0:30
Argus Filch,Half-Blood Prince,2009,0:15
Vincent Crabbe,Half-Blood Prince,2009,0:15
Gregory Goyle,Half-Blood Prince,2009,0:15
Parvati Patil,Half-Blood Prince,2009,0:15
Padma Patil,Half-Blood Prince,2009,0:15
Nigel Wolpert,Half-Blood Prince,2009,0:15
Cho Chang,Half-Blood Prince,2009,0:15
Peter Pettigrew,Half-Blood Prince,2009,0:15
Fawkes (Harry Potter),Half-Blood Prince,2009,0:15
Lily Evans Potter,Half-Blood Prince,2009,0:00
