character,canonical_tag,gender,race
Harry Potter,Harry Potter,M,white
Neville Longbottom,Neville Longbottom,M,white
Rolanda Hooch,Rolanda Hooch,F,white
Hermione Granger,Hermione Granger,F,white
Ron Weasley,Ron Weasley,M,white
Draco Malfoy,Draco Malfoy,M,white
Professor McGonagall,Minerva McGonagall,F,white
Albus Dumbledore,Albus Dumbledore,M,white
Oliver Wood,Oliver Wood,M,white
Professor Quirrell/Voldemort,Quirinus Quirrell,M,white
Fred Weasley,Fred Weasley,M,white
George Weasley,George Weasley,M,white
Dudley Dursley,Dudley Dursley,M,white
Aunt Petunia Dursley,Petunia Evans Dursley,F,white
Uncle Vernon Dursley,Vernon Dursley,M,white
Argus Filch,Argus Filch,M,white
Professor Snape,Severus Snape,M,white
James Potter,James Potter,M,white
Lily Potter,Lily Evans Potter,F,white
Lee Jordan,Lee Jordan,M,black
Garrick Ollivander,Garrick Ollivander,M,white
Ginny Weasley,Ginny Weasley,F,white
The Sorting Hat,Sorting Hat (Harry Potter),F,creature
Susan Bones,Susan Bones,F,white
Percy Weasley,Percy Weasley,M,white
Firenze,Firenze (Harry Potter),M,creature
Seamus Finnigan,Seamus Finnigan,M,white
Aberforth Dumbledore,Aberforth Dumbledore,M,white
Abraxas Malfoy,Abraxas Malfoy,M,white
Adrian Pucey,Adrian Pucey,M,white
Agnes (Harry Potter),Agnes (Harry Potter),F,white
Agrippa,Cornelius Agrippa,M,white
Aidan Lynch,Aidan Lynch,M,white
"Alastor ""Mad-Eye"" Moody","Alastor ""Mad-Eye"" Moody",M,white
Albert Runcorn,Albert Runcorn,M,white
Albus Severus Potter,Albus Severus Potter,M,white
Alecto Carrow,Alecto Carrow,F,white
Algie Longbottom,Algie Longbottom,M,white
Ali Bashir,Ali Bashir,M,middle-eastern
Alice Longbottom,Alice Longbottom,F,white
Alicia Spinnet,Alicia Spinnet,F,white
Alphard Black,Alphard Black,M,white
Amelia Bones,Amelia Bones,F,white
Amos Diggory,Amos Diggory,M,white
Amy Benson,Amy Benson,F,unknown
Amycus Carrow,Amycus Carrow,M,white
Andromeda Black Tonks,Andromeda Black Tonks,F,white
Angelina Johnson,Angelina Johnson,F,black
Anthony Goldstein,Anthony Goldstein,M,white
Antonin Dolohov,Antonin Dolohov,M,white
Arabella Figg,Arabella Figg,F,white
Aragog (Harry Potter),Aragog (Harry Potter),F,creature
Archie Aymslowe,Archie Aymslowe,M,white
Arcturus Black,Arcturus Black,M,white
Ariana Dumbledore,Ariana Dumbledore,F,white
Armando Dippet,Armando Dippet,M,white
Arnold Weasley,Arnold Weasley,M,white
Arthur Weasley,Arthur Weasley,M,white
Astoria Greengrass,Astoria Greengrass,F,white
Audrey Weasley,Audrey Weasley,F,white
Augusta Longbottom,Augusta Longbottom,F,white
Augustus Pye,Augustus Pye,M,unknown
Augustus Rookwood,Augustus Rookwood,M,white
Aurora Sinistra,Aurora Sinistra,F,black
Avery Jr.,Avery Jr.,M,white
Avery Sr.,Avery Sr.,M,white
Bandon Banshee,Bandon Banshee,F,creature
Bane,Bane (Harry Potter),M,creature
Barry Ryan,Barry Ryan,M,white
Bartemius Crouch Jr.,Bartemius Crouch Jr.,M,white
Bartemius Crouch Sr.,Bartemius Crouch Sr.,M,white
Basilisk (Harry Potter),Basilisk (Harry Potter),unknown,creature
Bathilda Bagshot,Bathilda Bagshot,F,white
Beedle the Bard (Harry Potter),Beedle the Bard (Harry Potter),M,white
Bellatrix Black Lestrange,Bellatrix Black Lestrange,F,white
Benjy Fenwick,Benjy Fenwick,M,white
Bertha Jorkins,Bertha Jorkins,F,white
Bertie Bott,Bertie Bott,F,white
Bill Weasley,Bill Weasley,M,white
Billy Stubbs,Billy Stubbs,M,white
Binky,Binky,M,creature
Black Family (Harry Potter),Black Family (Harry Potter),various,white
Blaise Zabini,Blaise Zabini,M,black
Bob Ogden,Bob Ogden,M,unknown
Bogrod (Harry Potter),Bogrod (Harry Potter),M,creature
Boris Vulchanov,Boris Vulchanov,M,white
Bozo,Bozo,M,white
Buckbeak,Buckbeak,M,creature
Cadogan,Cadogan,M,white
Caractacus Burke,Caractacus Burke,M,unknown
Caradoc Dearborn,Caradoc Dearborn,M,white
Cassiopeia Black,Cassiopeia Black,F,white
Cassius Warrington,Cassius Warrington,M,white
Cedric Diggory,Cedric Diggory,M,white
Celestina Warbeck,Celestina Warbeck,F,black
Charity Burbage,Charity Burbage,F,white
Charlie Weasley,Charlie Weasley,M,white
Charlus Potter,Charlus Potter,M,white
