rowid,best_book_id,original_publication_year,original_title,ratings_count,century,century_rank
1,2767052,2008,The Hunger Games,5066596,2000,1
2,3,1997,Harry Potter and the Philosopher's Stone,4972886,1900,1
3,41865,2005,Twilight,3992661,2000,2
4,2657,1960,To Kill a Mockingbird,3402363,1900,2
5,4671,1925,The Great Gatsby,2852789,1900,3
6,11870085,2012,The Fault in Our Stars,2564656,2000,3
7,13335037,2011,Divergent,2277881,2000,4
8,1885,1813,Pride and Prejudice,2239951,1800,1
9,5907,1937,The Hobbit : or There and Back Again,2228361,1900,4
10,5107,1951,The Catcher in the Rye,2166748,1900,5
11,960,2000,Angels & Demons,2126047,2000,5
12,5470,1949,Nineteen Eighty-Four,2125871,1900,6
13,48855,1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,2082057,1900,7
14,7613,1945,Animal Farm: A Fairy Story,2035585,1900,8
15,5,1999,Harry Potter and the Prisoner of Azkaban,2019176,1900,9
16,6148028,2009,Catching Fire,2015024,2000,6
17,2429135,2005,Man som hatar kvinnor,1982596,2000,7
18,15881,1998,Harry Potter and the Chamber of Secrets,1955144,1900,10
19,77203,2003,The Kite Runner,1917224,2000,8
20,6,2000,Harry Potter and the Goblet of Fire,1912948,2000,9
21,7260188,2010,Mockingjay,1897651,2000,10
22,136251,2007,Harry Potter and the Deathly Hallows,1889600,2000,11
23,34,1954,The Fellowship of the Ring,1880521,1900,11
24,2,2003,Harry Potter and the Order of the Phoenix,1875594,2000,12
25,1,2005,Harry Potter and the Half-Blood Prince,1824878,2000,13
26,7624,1954,Lord of the Flies,1707618,1900,12
27,18135,1597,An Excellent conceited Tragedie of Romeo and Juliet,1702565,1500,1
28,12232938,2002,The Lovely Bones,1685957,2000,14
29,19288043,2012,Gone Girl,1667157,2000,15
30,4667024,2009,The Help,1638864,2000,16
31,100915,1950,"The Lion, the Witch and the Wardrobe",1629301,1900,13
32,968,2003,The Da Vinci code,1578512,2000,17
33,890,1937,Of Mice and Men,1548748,1900,14
34,13496,1996,A Game of Thrones,1487963,1900,15
35,28187,2005,The Lightning Thief,1458186,2000,18
36,865,1988,O Alquimista,1455095,1900,16
37,10818853,2011,Fifty Shades of Grey,1448482,2000,19
38,929,1997,Memoirs of a Geisha,1439510,1900,17
39,3636,1993,The Giver,1361154,1900,18
40,1934,1868,Little Women,1334710,1800,2
41,18619684,2003,The Time Traveler's Wife,1329358,2000,20
44,10210,1847,Jane Eyre,1298327,1800,3
48,4381,1953,Fahrenheit 451,1203278,1900,19
52,24178,1952,Charlotte's Web,1117176,1900,20
59,6185,1847,Wuthering Heights,1022322,1800,4
60,2956,1884,The Adventures of Huckleberry Finn,1018212,1800,5
68,35031085,1818,"Frankenstein; or, The Modern Prometheus",904978,1800,6
76,14935,1811,Sense and Sensibility,786130,1800,7
85,17245,1897,Dracula,711064,1800,8
89,5297,1890,The Picture of Dorian Gray,694769,1800,9
91,1953,1859,A Tale of Two Cities,688835,1800,10
108,7126,1844,Le Comte de Monte-Cristo,611686,1800,11
