Identificativo Titolo,Titolo,Natura,Genere 1,age_decade,n,grouped_rowid
318440,"*Diario di una schiappa : *giornale di bordo di Greg Heffley / di Jeff Kinney. - Milano : Il Castoro, 2008. - 217 p. : ill. ; 21 cm. ((Traduzione di Rossella Bernascone. - In copertina: Un racconto a vignette",Monografia,Letteratura per ragazzi,10,88,1
818395,"*Harry Potter e la maledizione dell'erede : parte uno e due / basato su una storia originale di J. K. Rowling, John Tiffany e Jack Thorne ; un nuovo spettacolo di Jack Thorne ; traduzione di Luigi Spagnol. - Edizione speciale Scriptbook. - [Milano] : Salani, 2016. - 357 p. ; 21 cm. ((Frontespizio su due pagine",Monografia,Letteratura per ragazzi,10,83,2
641282,"*Diario di una schiappa : *si salvi chi può! /  di Jeff Kinney. - Milano : Il Castoro, 2013. - 217 p. : ill. ; 21 cm. ((Traduzione di Rossella Bernascone",Monografia,Letteratura per ragazzi,10,80,3
391023,"*Diario di una schiappa : *ora basta! / di Jeff Kinney. - Milano : Il Castoro, 2010. - 217 p. : ill. ; 21 cm. ((Traduzione di Rossella Bernascone.",Monografia,Letteratura per ragazzi,10,73,4
406452,"*Diario di una schiappa : *vita da cani / di Jeff Kinney. - Milano : Il castoro, 2011. - 214 p. : ill. ; 21 cm. ((Traduzione di Rossella Bernascone",Monografia,Letteratura per ragazzi,10,71,5
719861,"*Diario di una schiappa : *guai in arrivo! / di Jeff Kinney. - Milano : Il Castoro, 2014. - 217 p. : ill. ; 21 cm. ((Traduzione di Rossella Bernascone.",Monografia,Letteratura per ragazzi,10,70,6
62001,"*Harry Potter e la pietra filosofale : romanzo / J. K. Rowling ; illustrazioni di Serena Riglietti ; traduzione di Marina Astrologo. - Milano : Salani, 1998. - 296 p. : ill. ; 21 cm. ((Sul dorso: HP 1. anno",Monografia,Letteratura per ragazzi,10,67,7
641280,"*Diario di una schiappa :  la *dura verità /  di Jeff Kinney. - Milano : Il Castoro, 2012. - 217 p. : ill. ; 22 cm. ((Trad. di Rossella Bernascone e Pier Simone Pischedda.",Monografia,Letteratura per ragazzi,10,65,8
348811,"*Diario di una schiappa : la *legge dei più grandi / di Jeff Kinney. - Milano : Il castoro, 2009. - 216 p. : ill. ; 21 cm. ((Trad. di Rossella Bernascone.",Monografia,Letteratura per ragazzi,10,62,9
741353,"*Diario di una schiappa : *sfortuna nera / di Jeff Kinney. - Milano : Il Castoro, 2014. - 217 p. : ill. ; 21 cm. ((Traduzione di Rossella Bernascone.",Monografia,Letteratura per ragazzi,10,61,10
212914,"L'*amico ritrovato : romanzo / Fred Uhlman ; introduzione di Arthur Koestler ; traduzione di Mariagiulia Castagnone. - Milano : Feltrinelli, 1988. - 92 p. ; 20 cm.",Monografia,NA,10,59,11
246692,"La *fabbrica di cioccolato / Roald Dahl ; illustrazioni di Quentin Blake. - Nuova ed. - Milano : Salani, 2005. - 202 p. : ill. ; 20 cm. ((Trad. di Riccardo Duranti.",Monografia,Letteratura per ragazzi,10,59,12
794960,"*Diario di una schiappa : *portatemi a casa! / di Jeff Kinney. - Milano : Il Castoro, 2015. - 217 p. : ill. ; 22 cm. ((Traduzione di Rossella Bernascone.",Monografia,Letteratura per ragazzi,10,57,13
72938,"*Harry Potter e la camera dei segreti : romanzo / J. K. Rowling ; illustrazioni di Serena Riglietti ; traduzione di Marina Astrologo. - Milano : Salani, 1999. - 307 p. : ill. ; 21 cm. ((Sul dorso: HP 2. anno",Monografia,Letteratura per ragazzi,10,55,14
256544,"*Harry Potter e il Principe Mezzosangue : romanzo / J. K. Rowling ; traduzione di Beatrice Masini. - Milano : Salani, 2006. - 591 p. ; 22 cm. ((Sul dorso: HP 6. anno",Monografia,NA,10,54,15
645149,"*Wonder / R. J. Palacio. - Firenze ; Milano : Giunti, 2013. - 285 p. : ill. ; 22 cm. ((Traduzione di Alessandra Orcese. - La collana è dedotta dalla scheda del libro pubblicata sul sito Giunti",Monografia,Letteratura per ragazzi,10,54,16
727196,"*Percy Jackson e gli dei dell'Olimpo : il *ladro di fulmini / Rick Riordan ; traduzione di Loredana Baldinucci. - Milano : Mondadori, 2010. - 361 p. ; 22 cm. ((1. Vol. Saga",Monografia,Letteratura per ragazzi,10,53,17
